,Date,Time,Title,Description,Category,Priority,Status,Location,Department,Class,Year,Month,Day/Night,Quarter,Week,Response Time(min),Resolution Time(min),Duration(min),Priority_,Status_,Department_,Location_,Class_
18,2023-07-18,15:35:00,Security Breach,Unauthorized access detected in the system.,12,Critical,In Progress,Data Center,Security,Security,2023,July,day,Third,29,0,0,0,4,2,4,3,5
19,2021-12-30,09:24:37,Database Backup Storage Capacity Reached,The storage capacity for database backups is reached requiring additional storage allocation.,13,Medium,Resolved,Data Center,IT,Data,2021,December,day,Fourth,52,10,20,30,2,3,2,3,6
20,2023-03-02,20:37:13,Network Firewall Configuration Error,There is an error in the firewall configuration resulting in unintended access restrictions or vulnerabilities.,14,Medium,Resolved,Office,IT,Configuration,2023,March,night,First,9,10,20,30,2,3,2,1,7
21,2021-10-20,02:05:49,Server Room Fire Alarm Triggered,The fire alarm in the server room is triggered requiring evacuation and investigation.,15,Critical,Resolved,Server Room,Infrastructure,Security,2021,October,night,Fourth,42,30,60,90,4,3,3,2,5
22,2023-06-15,14:20:00,Network Firewall Misconfiguration,Improper firewall configuration leading to connectivity issues.,6,High,Resolved,Server Room,Infrastructure,Network,2023,June,day,Second,24,5,25,30,3,3,3,2,3
23,2021-02-13,11:25:25,Data Leakage Detected,A data leakage incident is detected indicating unauthorized data exfiltration.,12,Critical,Resolved,Data Center,IT,Security,2021,February,day,First,6,10,20,30,4,3,2,3,5
24,2023-09-01,22:29:48,Unauthorized Database Access,An unauthorized user gains access to the database potentially compromising sensitive data.,12,High,Resolved,Data Center,IT,Security,2023,September,night,Third,35,15,30,45,3,3,2,3,5
25,2022-10-11,01:17:01,Application Slow Performance,The application is running slower than usual. affecting user productivity.,2,Medium,Resolved,Office,Applications,Performance,2022,October,night,Fourth,41,15,45,60,2,3,1,1,1
26,2021-08-06,21:00:41,Network Latency Issue,Users are experiencing significant latency in network communication.,6,High,Resolved,Office,IT,Network,2021,August,night,Third,31,30,60,90,3,3,2,1,3
27,2022-04-05,02:08:43,Network DNS Cache Poisoning,The DNS cache is poisoned with incorrect or malicious entries leading to DNS resolution issues.,10,Critical,Resolved,Data Center,IT,Security,2022,April,night,Second,14,5,10,15,4,3,2,3,5
28,2020-12-31,14:51:20,Database Connection Error,The application is unable to establish a connection with the database server.,1,Medium,Resolved,Data Center,Applications,Application,2020,December,day,Fourth,53,10,35,45,2,3,1,3,0
29,2023-03-28,17:47:17,Phishing Email Reported,An employee reports a suspicious phishing email received.,12,Medium,Resolved,Office,IT,Security,2023,March,day,First,13,20,40,60,2,3,2,1,5
30,2022-03-27,01:28:55,Account Phishing Incident,An employee falls victim to a phishing attack providing login credentials to an attacker.,12,Medium,Resolved,Office,IT,Security,2022,March,night,First,12,5,10,15,2,3,2,1,5
31,2022-02-15,14:27:39,Application Integration Timeout,The application experiences timeouts during integration with external systems impacting data exchange.,1,Medium,Resolved,Server Room,Applications,Application,2022,February,day,First,7,20,40,60,2,3,1,2,0
32,2021-11-16,23:42:42,Application Service Unavailable,The application service becomes unavailable preventing users from accessing the application.,1,High,Resolved,Server Room,Applications,Application,2021,November,night,Fourth,46,15,30,45,3,3,1,2,0
33,2022-08-06,05:02:30,Server Room Unauthorized Access,A case of unauthorized access is detected in the server room requiring security investigation.,10,Critical,Resolved,Server Room,Infrastructure,Security,2022,August,night,Third,31,10,20,30,4,3,3,2,5
34,2021-02-23,13:11:46,User Account Password Reset,Several user accounts require password resets due to a security breach.,16,Medium,Resolved,Office,IT,Security,2021,February,day,First,8,10,35,45,2,3,2,1,5
35,2022-07-17,22:55:18,Server Misconfiguration,A server is misconfigured resulting in operational issues or vulnerabilities.,17,High,Resolved,Data Center,IT,Configuration,2022,July,night,Third,28,15,30,45,3,3,2,3,7
36,2023-11-09,10:10:00,Application Bug,Users are experiencing unexpected errors in the application.,0,Medium,Resolved,Office,Applications,Application,2023,November,day,Fourth,45,5,25,30,2,3,1,1,0
37,2021-10-20,02:01:47,Application Data Backup Corruption,The backup data of the application becomes corrupted potentially impacting data recovery in case of a disaster.,13,High,Resolved,Server Room,Applications,Application,2021,October,night,Fourth,42,30,60,90,3,3,1,2,0
38,2022-11-04,01:45:37,Network Performance Monitoring,Monitoring and analyzing network performance to identify and resolve performance issues.,6,Medium,Resolved,Data Center,IT,Network,2022,November,night,Fourth,44,15,30,45,2,3,2,3,3
39,2023-11-25,09:40:00,Unauthorized Access,An unauthorized user gained access to sensitive data.,12,Critical,Resolved,Data Center,Security,Security,2023,November,day,Fourth,47,0,0,0,4,3,4,3,5
40,2022-02-15,10:29:56,Network Device Configuration,A network device requires configuration changes to optimize performance and security.,6,Medium,Resolved,Data Center,IT,Network,2022,February,day,First,7,20,40,60,2,3,2,3,3
41,2022-03-11,08:58:03,Application Functionality Regression,After an update or change the application experiences a regression in certain functionality.,1,Medium,Resolved,Server Room,Applications,Application,2022,March,day,First,10,10,20,30,2,3,1,2,0
42,2022-11-09,07:30:12,Database Configuration Error,A database is misconfigured leading to performance issues or data integrity problems or security vulnerabilities.,17,High,Resolved,Data Center,IT,Configuration,2022,November,day,Fourth,45,30,60,90,3,3,2,3,7
43,2023-06-10,09:50:00,Database Performance Degradation,Slow response time from the database server.,4,Medium,In Progress,Office,Applications,Performance,2023,June,day,Second,23,0,0,0,2,2,1,1,1
44,2022-02-25,22:43:12,Email Attachment Size Limit Exceeded,Users are unable to send or receive email attachments due to size limit restrictions.,14,Medium,Resolved,Data Center,IT,Configuration,2022,February,night,First,8,5,10,15,2,3,2,3,7
45,2023-10-02,14:05:07,Software Bug Detected,A software bug is identified causing unexpected behavior or errors in the application.,18,Medium,Resolved,Office,Applications,Application,2023,October,day,Fourth,40,20,40,60,2,3,1,1,0
46,2023-02-03,06:39:56,Application Authorization Issue,Users are unable to access certain features in the application due to authorization errors.,1,Medium,Resolved,Office,Applications,Application,2023,February,day,First,5,20,40,60,2,3,1,1,0
47,2021-08-17,09:16:30,Database Server Crash,The database server crashes unexpectedly causing service disruption and potential data loss.,8,Critical,Resolved,Data Center,IT,Infrastructure,2021,August,day,Third,33,20,40,60,4,3,2,3,2
48,2022-03-09,07:24:46,Unsecured Wireless Network,An unsecured wireless network is identified posing a potential security risk.,12,Medium,Resolved,Office,IT,Security,2022,March,day,First,10,10,20,30,2,3,2,1,5
49,2023-06-29,15:35:00,Unauthorized Access Attempt,An unauthorized user attempted to access the system.,12,Medium,In Progress,Data Center,Security,Security,2023,June,day,Second,26,0,0,0,2,2,4,3,5
50,2023-02-14,01:22:17,Data Quality Issue,Data quality problems are identified affecting the accuracy completeness or consistency of the data.,11,High,Resolved,Office,IT,Data,2023,February,night,First,7,10,20,30,3,3,2,1,6
51,2021-11-02,05:24:26,Network Device Misconfiguration,A network device is misconfigured causing network disruptions or security vulnerabilities.,17,High,Resolved,Data Center,IT,Configuration,2021,November,night,Fourth,44,20,40,60,3,3,2,3,7
52,2023-06-25,09:30:00,Mouse Scroll Wheel Not Working,The scroll wheel on the mouse is not functioning.,9,Low,Open,Office,IT,Hardware,2023,June,day,Second,25,5,30,15,1,1,2,1,4
53,2021-12-13,10:52:55,Server Room Cooling System Failure,The cooling system in the server room fails leading to increased temperature and potential equipment damage.,8,High,Resolved,Server Room,Infrastructure,Infrastructure,2021,December,day,Fourth,50,10,20,30,3,3,3,2,2
54,2022-08-09,09:01:59,Application Dependency Configuration,A misconfiguration in application dependencies or integrations causes functionality issues or system instability.,17,High,Resolved,Office,IT,Configuration,2022,August,day,Third,32,5,10,15,3,3,2,1,7
55,2023-10-10,11:30:00,Server Disk Failure,One of the server disks has failed.,9,High,Open,Data Center,Infrastructure,Hardware,2023,October,day,Fourth,41,0,0,0,3,1,3,3,4
56,2022-01-07,09:37:07,Network DNS Server Unreachable,The DNS server becomes unreachable causing domain name resolution failures.,5,Medium,Resolved,Office,IT,Network,2022,January,day,First,1,15,30,45,2,3,2,1,3
57,2021-07-31,22:34:26,Application User Account Lockout,User accounts in the application are locked out due to multiple failed login attempts.,1,Medium,Resolved,Server Room,Applications,Application,2021,July,night,Third,30,5,10,15,2,3,1,2,0
58,2022-05-27,19:33:02,Network VPN Connection Failure,There is a failure in establishing VPN connections resulting in remote access issues.,5,Medium,Resolved,Office,IT,Network,2022,May,night,Second,21,30,60,90,2,3,2,1,3
59,2021-07-22,03:00:30,Network Switch Failure,One of the network switches fails resulting in network connectivity issues.,19,High,Resolved,Office,IT,Hardware,2021,July,night,Third,29,30,60,90,3,3,2,1,4
60,2023-07-06,14:30:00,Network Outage,Complete loss of network connectivity.,6,Critical,Resolved,Server Room,Infrastructure,Network,2023,July,day,Third,27,30,150,180,4,3,3,2,3
61,2022-06-03,05:06:53,Server Room Fire Alarm Triggered,The fire alarm in the server room is triggered requiring evacuation and investigation.,8,Critical,Resolved,Server Room,Infrastructure,Infrastructure,2022,June,night,Second,22,15,30,45,4,3,3,2,2
62,2021-01-29,20:26:15,Application Database Connectivity Issue,The application encounters connectivity issues with the database causing disruption in data retrieval and processing.,1,Medium,Resolved,Server Room,Applications,Application,2021,January,night,First,4,30,60,90,2,3,1,2,0
63,2023-01-31,03:15:46,Server Room Air Conditioning Failure,The air conditioning system in the server room fails leading to elevated temperatures.,8,High,Resolved,Server Room,Infrastructure,Infrastructure,2023,January,night,First,5,30,60,90,3,3,3,2,2
64,2021-07-31,15:00:50,Database Connection Pool Exhaustion,The database connection pool is exhausted causing connection errors and performance degradation.,2,Medium,Resolved,Data Center,IT,Performance,2021,July,day,Third,30,15,30,45,2,3,2,3,1
65,2022-12-26,00:41:18,Application Integration Failure,There is a failure in the integration between the application and a third-party system causing data or functionality issues.,1,Medium,Resolved,Server Room,Applications,Application,2022,December,night,Fourth,52,20,40,60,2,3,1,2,0
66,2021-05-12,03:46:51,Network Device Firmware Upgrade,A firmware upgrade is required on a network device to address performance or security issues.,17,Medium,Resolved,Data Center,IT,Configuration,2021,May,night,Second,19,10,20,30,2,3,2,3,7
67,2021-12-14,22:34:53,Software Feature Request,Users request a new feature to be added to the software application.,20,Low,Resolved,Office,Applications,Application,2021,December,night,Fourth,50,10,20,30,1,3,1,1,0
68,2021-09-21,23:31:19,Application Service Unavailable,The application service becomes unavailable preventing users from accessing its functionality.,1,High,Resolved,Server Room,Applications,Application,2021,September,night,Third,38,20,40,60,3,3,1,2,0
69,2021-06-17,13:19:17,File Server Disk Space Full,The disk space on the file server has reached its capacity preventing file uploads.,8,High,Resolved,Server Room,Infrastructure,Infrastructure,2021,June,day,Second,24,10,35,45,3,3,3,2,2
70,2023-06-26,14:00:00,Server Network Card Failure,The network card on the server has failed.,9,Critical,Open,Data Center,IT,Hardware,2023,June,day,Second,26,30,480,240,4,1,2,3,4
71,2021-09-05,18:14:53,Database Index Fragmentation,The database indexes become fragmented leading to reduced query performance.,2,Medium,Resolved,Data Center,IT,Performance,2021,September,day,Third,35,15,30,45,2,3,2,3,1
72,2021-12-27,00:58:46,Network Switch Firmware Upgrade,There is a firmware upgrade scheduled for network switches requiring planned downtime.,7,Low,Resolved,Office,IT,Network,2021,December,night,Fourth,52,15,30,45,1,3,2,1,3
73,2021-02-13,20:42:44,Data Leakage Detection Failure,A failure occurs in detecting or preventing the unauthorized leakage of sensitive data.,11,High,Resolved,Office,IT,Data,2021,February,night,First,6,5,10,15,3,3,2,1,6
74,2023-08-19,08:40:00,Network Outage,Complete loss of network connectivity.,6,Critical,Resolved,Server Room,Infrastructure,Network,2023,August,day,Third,33,30,150,180,4,3,3,2,3
75,2022-12-16,13:51:05,Application Data Inconsistency,There is inconsistency in the application data requiring data reconciliation and correction.,13,High,Resolved,Server Room,Applications,Data,2022,December,day,Fourth,50,5,10,15,3,3,1,2,6
76,2021-01-08,05:05:10,Application User Data Inconsistency,There is inconsistency in user data within the application causing discrepancies and incorrect information.,13,Medium,Resolved,Server Room,Applications,Application,2021,January,night,First,1,10,20,30,2,3,1,2,0
77,2022-01-24,00:34:11,Slow Application Response,Users experience slow response times or delays when interacting with an application.,4,High,Resolved,Office,IT,Performance,2022,January,night,First,4,10,20,30,3,3,2,1,1
78,2022-01-19,08:48:15,Application Data Integrity Issue,There is a data integrity issue in the application leading to inconsistencies and inaccuracies.,13,Medium,Resolved,Server Room,Applications,Data,2022,January,day,First,3,20,40,60,2,3,1,2,6
79,2023-03-20,11:06:33,Application Data Corruption,The application data becomes corrupted leading to data loss or incorrect processing.,13,High,Resolved,Server Room,Applications,Data,2023,March,day,First,12,30,60,90,3,3,1,2,6
80,2021-12-23,14:25:34,Network Congestion,Heavy network traffic is causing congestion and slowing down data transfer.,5,Medium,Resolved,Office,Infrastructure,Network,2021,December,day,Fourth,51,30,60,90,2,3,3,1,3
81,2021-08-02,20:41:34,Data Sync Issue,Data synchronization between different modules of an application fails causing inconsistencies.,0,High,Resolved,Office,IT,Application,2021,August,night,Third,31,30,60,90,3,3,2,1,0
82,2021-06-05,01:46:56,Data Access Audit Failure,A failure occurs in recording or reviewing data access logs or audits compromising data access monitoring.,11,Medium,Resolved,Office,IT,Data,2021,June,night,Second,22,15,30,45,2,3,2,1,6
83,2023-03-03,22:10:29,Application Integration Failure,The application fails to integrate with a third-party system causing data synchronization issues.,21,Medium,Resolved,Office,Applications,Application,2023,March,night,First,9,5,10,15,2,3,1,1,0
84,2021-12-26,22:11:00,Application Session Timeout,User sessions in the application expire prematurely requiring users to log in again.,1,Medium,Resolved,Server Room,Applications,Application,2021,December,night,Fourth,51,5,10,15,2,3,1,2,0
85,2021-04-06,08:00:31,Access Control Failure,There is a failure in access control mechanisms allowing unauthorized access to resources.,12,High,Resolved,Data Center,IT,Security,2021,April,day,Second,14,20,40,60,3,3,2,3,5
86,2022-12-19,13:02:44,Physical Server Failure,A physical server experiences a failure impacting the availability of hosted services.,3,Critical,Resolved,Data Center,IT,Infrastructure,2022,December,day,Fourth,51,30,60,90,4,3,2,3,2
87,2022-09-27,19:28:19,Network DDoS Attack,The network is under a Distributed Denial of Service (DDoS) attack causing service disruption.,10,High,Resolved,Office,IT,Security,2022,September,night,Third,39,20,40,60,3,3,2,1,5
88,2023-07-26,12:15:00,Data Corruption,Data integrity issues detected in the database.,11,High,In Progress,Office,IT,Data,2023,July,day,Third,30,0,0,0,3,2,2,1,6
89,2023-11-18,08:45:00,Network Outage,Complete loss of network connectivity.,6,Critical,Resolved,Server Room,Infrastructure,Network,2023,November,day,Fourth,46,30,150,180,4,3,3,2,3
90,2023-06-07,12:40:00,Network Firewall Block,The firewall is blocking legitimate network traffic.,12,Medium,Open,Server Room,Security,Security,2023,June,day,Second,23,0,0,0,2,1,4,2,5
91,2022-04-29,17:59:32,Network Routing Issue,Incorrect network routing configurations are causing connectivity problems between subnets.,5,Medium,Resolved,Office,Infrastructure,Network,2022,April,day,Second,17,30,90,120,2,3,3,1,3
92,2020-12-14,19:49:06,Network VLAN Configuration,Configuring network VLANs to segment and isolate network traffic for improved security and performance.,6,Medium,Resolved,Data Center,IT,Network,2020,December,night,Fourth,51,10,20,30,2,3,2,3,3
93,2023-02-20,12:12:02,Network Firewall Rule Update,A firewall rule update is required to address security vulnerabilities or access restrictions.,6,Medium,Resolved,Office,IT,Network,2023,February,day,First,8,30,60,90,2,3,2,1,3
94,2021-05-26,07:24:47,Network VLAN Trunking Error,A VLAN trunking error occurs in the network causing connectivity issues between switches.,14,Medium,Resolved,Office,IT,Configuration,2021,May,day,Second,21,10,20,30,2,3,2,1,7
95,2023-03-21,13:19:03,Database Data Migration,Data migration is required from an old database to a new database version.,13,Medium,Resolved,Data Center,IT,Data,2023,March,day,First,12,30,60,90,2,3,2,3,6
96,2021-03-01,06:05:59,Database Deadlock,There is a deadlock situation in the database causing transaction failures and delays.,2,Medium,Resolved,Data Center,IT,Performance,2021,March,day,First,9,5,10,15,2,3,2,3,1
97,2023-10-07,15:30:00,Data Center Cooling Failure,The cooling system in the data center has failed.,3,Critical,Resolved,Data Center,Infrastructure,Infrastructure,2023,October,day,Fourth,40,15,105,120,4,3,3,3,2
98,2022-08-09,10:15:55,Database Disk Space Low,The database server is running out of disk space. requiring additional storage or cleanup.,13,High,Resolved,Server Room,IT,Data,2022,August,day,Third,32,10,20,30,3,3,2,2,6
99,2022-12-20,16:43:00,Server Room UPS Battery Failure,The UPS battery in the server room fails compromising backup power supply and potentially causing service interruption.,8,High,Resolved,Server Room,Infrastructure,Infrastructure,2022,December,day,Fourth,51,5,10,15,3,3,3,2,2
100,2022-08-15,09:51:22,Network VLAN Configuration Inconsistency,There is an inconsistency in the VLAN configuration resulting in connectivity issues and network instability.,14,Medium,Resolved,Office,IT,Configuration,2022,August,day,Third,33,20,40,60,2,3,2,1,7
101,2023-10-14,10:10:00,Data Backup Error,An error occurred during the data backup process.,11,High,Open,Office,IT,Data,2023,October,day,Fourth,41,0,0,0,3,1,2,1,6
102,2023-11-06,08:50:00,Server Overload,The server is under heavy load and experiencing performance issues.,4,High,Resolved,Data Center,Infrastructure,Performance,2023,November,day,Fourth,45,20,70,90,3,3,3,3,1
103,2023-09-11,14:00:00,Network Connectivity Intermittent,Intermittent network connectivity issues experienced by users.,6,Medium,Resolved,Server Room,Infrastructure,Network,2023,September,day,Third,37,10,35,45,2,3,3,2,3
104,2023-01-08,12:55:00,Software License Expiry,The software license has expired.,3,Low,Resolved,Office,IT,Infrastructure,2023,January,day,First,1,5,5,10,1,3,2,1,2
105,2022-02-26,19:47:31,Backup Storage Full,The backup storage has reached its capacity. preventing further backups.,8,High,Resolved,Server Room,Infrastructure,Infrastructure,2022,February,night,First,8,30,90,120,3,3,3,2,2
106,2021-04-21,07:42:29,Database Server Failure,A database server experiences a failure resulting in data unavailability and service disruptions.,3,Critical,Resolved,Data Center,IT,Infrastructure,2021,April,day,Second,16,15,30,45,4,3,2,3,2
107,2022-01-12,16:04:28,Application Workflow Error,There is an error in the application's workflow causing disruptions and failures in business processes.,1,High,Resolved,Server Room,Applications,Application,2022,January,day,First,2,5,10,15,3,3,1,2,0
108,2023-03-26,22:59:13,Database Performance Tuning,The database requires performance tuning to optimize query execution and improve response times.,2,High,Resolved,Server Room,IT,Performance,2023,March,night,First,12,15,30,45,3,3,2,2,1
109,2023-12-02,12:04:06,Network VLAN Tagging Misconfiguration,There is a misconfiguration in VLAN tagging settings causing network segmentation issues.,14,Medium,Resolved,Data Center,IT,Configuration,2023,December,day,Fourth,48,30,60,90,2,3,2,3,7
110,2022-08-31,17:01:06,Server Room Equipment Maintenance,Essential equipment in the server room requires routine maintenance requiring planned downtime.,7,Low,Resolved,Server Room,Infrastructure,Infrastructure,2022,August,day,Third,35,10,20,30,1,3,3,2,2
111,2022-08-08,07:25:51,Database Connection Instability,There is instability in the database connections causing intermittent connectivity and query failures.,2,Medium,Resolved,Data Center,IT,Performance,2022,August,day,Third,32,30,60,90,2,3,2,3,1
112,2021-02-02,18:08:34,Database Backup Failure,The database backup process fails risking data loss in case of a system failure.,13,High,Resolved,Server Room,IT,Data,2021,February,day,First,5,10,20,30,3,3,2,2,6
113,2022-11-30,06:58:54,Privilege Escalation Attempt,An unauthorized user attempts to escalate privileges within the system.,12,High,Resolved,Server Room,IT,Security,2022,November,day,Fourth,48,15,30,45,3,3,2,2,5
114,2021-02-07,18:04:02,Configuration File Error,A configuration file contains errors leading to application misconfiguration or malfunction.,17,High,Resolved,Office,IT,Configuration,2021,February,day,First,5,10,20,30,3,3,2,1,7
115,2021-05-09,21:10:57,Application Data Corruption,The application data becomes corrupted leading to data loss or incorrect processing.,13,High,Resolved,Server Room,Applications,Data,2021,May,night,Second,18,10,20,30,3,3,1,2,6
116,2023-09-19,15:50:00,Storage Disk Failure,One of the storage disks has failed.,9,Medium,In Progress,Data Center,Infrastructure,Hardware,2023,September,day,Third,38,10,50,60,2,2,3,3,4
117,2023-09-09,12:20:00,Network Connectivity Intermittent,Intermittent network connectivity issues experienced by users.,6,Medium,Resolved,Server Room,Infrastructure,Network,2023,September,day,Third,36,10,35,45,2,3,3,2,3
118,2023-07-17,10:10:00,Data Backup Error,An error occurred during the data backup process.,11,High,Open,Office,IT,Data,2023,July,day,Third,29,0,0,0,3,1,2,1,6
119,2021-07-13,21:54:55,Unauthorized File Access,An unauthorized user gains access to confidential files.,12,High,Resolved,Data Center,IT,Security,2021,July,night,Third,28,5,10,15,3,3,2,3,5
120,2023-06-22,09:10:00,Application Performance Degradation,The application is running slower than usual.,4,Medium,In Progress,Office,Applications,Performance,2023,June,day,Second,25,0,0,0,2,2,1,1,1
121,2022-10-09,03:56:07,Printer Malfunction,The printer in the HR department is not printing properly and often gets jammed.,19,Low,Resolved,Office,IT,Hardware,2022,October,night,Fourth,40,10,20,30,1,3,2,1,4
122,2022-02-19,06:25:32,Application User Interface Freeze,The application's user interface freezes preventing users from interacting with the application.,1,Medium,Resolved,Server Room,Applications,Application,2022,February,day,First,7,5,10,15,2,3,1,2,0
123,2021-12-23,13:29:38,Database Replication Error,There is an error in database replication causing data inconsistencies between replicas.,13,High,Resolved,Office,IT,Data,2021,December,day,Fourth,51,5,10,15,3,3,2,1,6
124,2022-05-23,12:06:13,Network Switch Port Failure,A network switch port fails resulting in connectivity issues for devices connected to that port.,8,Medium,Resolved,Office,IT,Infrastructure,2022,May,day,Second,21,15,30,45,2,3,2,1,2
125,2023-11-30,10:45:00,Server Hardware Failure,A critical hardware component on the server has failed.,9,Critical,Open,Data Center,Infrastructure,Hardware,2023,November,day,Fourth,48,0,0,0,4,1,3,3,4
126,2022-02-03,02:53:48,Server Firmware Update,A firmware update is required on a server to address known issues or security vulnerabilities.,17,Medium,Resolved,Data Center,IT,Configuration,2022,February,night,First,5,15,30,45,2,3,2,3,7
127,2023-01-10,09:50:00,Application Update Required,The application requires an update to address security vulnerabilities.,7,High,In Progress,Office,Applications,Application,2023,January,day,First,2,0,0,0,3,2,1,1,0
128,2021-12-14,21:00:53,Network Bandwidth Bottleneck,A network experiences a bandwidth bottleneck resulting in reduced data transfer rates or network congestion.,4,High,Resolved,Data Center,IT,Performance,2021,December,night,Fourth,50,30,60,90,3,3,2,3,1
129,2023-04-08,08:55:00,Server Fan Failure,A fan failure has been detected on the server.,9,High,Resolved,Data Center,Infrastructure,Hardware,2023,April,day,Second,14,5,25,30,3,3,3,3,4
130,2021-08-22,06:54:30,Network VLAN Misconfiguration,A VLAN (Virtual Local Area Network) is misconfigured causing connectivity issues and communication problems.,3,Medium,Resolved,Data Center,IT,Infrastructure,2021,August,day,Third,33,5,10,15,2,3,2,3,2
131,2021-07-30,15:36:58,Server Room Equipment Power Failure,There is a power failure in critical server room equipment resulting in service unavailability.,8,Critical,Resolved,Server Room,Infrastructure,Infrastructure,2021,July,day,Third,30,30,60,90,4,3,3,2,2
132,2023-06-27,13:45:00,Server Disk Space Exceeded,Insufficient disk space on the server.,3,High,Open,Data Center,Infrastructure,Infrastructure,2023,June,day,Second,26,0,0,0,3,1,3,3,2
133,2023-10-06,15:30:00,Network Congestion,High network traffic causing delays and packet loss.,6,Low,Open,Server Room,Infrastructure,Network,2023,October,day,Fourth,40,0,0,0,1,1,3,2,3
134,2023-12-10,10:20:00,Network Performance Degradation,Slow network performance affecting user experience.,4,Medium,In Progress,Server Room,Infrastructure,Performance,2023,December,day,Fourth,49,0,0,0,2,2,3,2,1
135,2022-01-14,18:06:38,Network VLAN Misconfiguration,The VLAN settings are misconfigured causing issues with network segmentation.,5,Medium,Resolved,Data Center,IT,Network,2022,January,day,First,2,10,20,30,2,3,2,3,3
136,2022-08-23,14:35:38,Data Exfiltration Attempt,An unauthorized user attempts to exfiltrate data from the system.,12,High,Resolved,Data Center,IT,Security,2022,August,day,Third,34,30,60,90,3,3,2,3,5
137,2022-01-06,13:41:51,Application Server Configuration,A misconfiguration in the application server causes performance issues or application failures.,17,Medium,Resolved,Data Center,IT,Configuration,2022,January,day,First,1,20,40,60,2,3,2,3,7
138,2023-09-20,09:15:00,Application Bug,Users are experiencing unexpected errors in the application.,0,Medium,Open,Office,Applications,Application,2023,September,day,Third,38,0,0,0,2,1,1,1,0
